ent_num,alt_num,alt_type,alt_name,alt_remarks
18279,28254,aka,"UK RFPI, OOO",
18279,28255,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU UPRAVLYAYUSHCHAYA KOMPANIYA RFPI,
18279,28331,aka,MANAGEMENT COMPANY RDIF LLC,
18279,28332,aka,RDIF MANAGEMENT COMPANY,
18280,28252,aka,ANGARSK REFINERY,
18281,28257,fka,LLC RESAD,
18281,28259,fka,RESAD LLC,
18281,55116,aka,INFRASTRUKTURA MOLZHANINOVO,
18282,28261,aka,NOVOKUIBYSHEVSK REFINERY,
18283,28264,aka,JSC RUSSIAN BANK FOR SMALL AND MEDIUM ENTERPRISES SUPPORT,
18283,28265,aka,JSC SME BANK,
18283,28266,aka,AKTSIONERNOE OBSHCHESTVO ROSSISKI BANK PODDERZHKI MALOGO I SREDNEGO PREDPRINIMATELSTVA,
18283,28267,aka,MSP BANK AO,
18283,28268,fka,OTKRYTOE AKTSIONERNOE OBSHCHESTVO ROSSISKI BANK RAZVITIYA,
18284,28270,aka,RN-KOMSOMOLSKI NPZ OOO,
18284,28271,aka,KOMSOMOLSK REFINERY,
18284,28272,aka,LLC RN-KOMSOMOLSK REFINERY,
18285,28274,aka,SVIAZ-BANK AKB PAO,
18285,28275,aka,MEZHREGIONALNY KOMMERCHESKI BANK RAZVITIYA SVYAZI I INFORMATIKI (PUBLICHNOE AKTSIONERNOE OBSHCHESTVO),
18285,28276,aka,INTERREGIONAL BANK FOR SETTLEMENTS OF THE TELECOMMUNICATIONS AND POSTAL SERVICES,
18286,28279,aka,OOO VEB KAPITAL,
18286,28280,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU INVESTITSIONNA YA KOMPANIYA VNESHEKONOMBANKA,
18286,28283,aka,LLC VEB CAPITAL,
18287,28285,aka,OOO VEB INZHINIRING,
18287,28286,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU VEB INZHINIRING,
18287,55043,aka,VEB ENGINEERING LIMITED LIABILITY COMPANY,
18287,55044,aka,OOO VEB ENGINEERING,
18288,28288,aka,OAO VEB LIZING,
18288,28289,aka,OTKRYTOE AKTSIONERNOE OBSHCHESTVO VEB LIZING,
18288,28290,aka,OPEN JOINT STOCK COMPANY VEB LEASING,
18288,28291,aka,OJSC VEB LEASING,
18289,28293,fka,RGI INTERNATIONAL LIMITED,
18289,28296,fka,RGI INTERNATIONAL,
18290,28297,aka,SYZRAN REFINERY,
18290,28298,aka,OPEN JOINT-STOCK OIL AND GAS COMPANY SYZRAN,
18291,28300,aka,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY,
18291,28301,aka,BELVESHECONOMBANK OAO,
18291,55032,aka,BANK BELVEB OPEN JOINT STOCK COMPANY,
18292,28303,aka,ACHINSK REFINERY,
18292,28304,aka,OAO ACHINSK OIL REFINERY VNK,
18293,28306,aka,PSC PROMINVESTBANK,
18293,28307,aka,PUBLIC STOCK COMPANY JOINT STOCK COMMERCIAL INDUSTRIAL AND INVESTMENT BANK,
18293,28308,aka,COMMERCIAL INDUSTRIAL AND INVESTMENT BANK PUBLIC JOINT STOCK COMPANY,
18293,28309,aka,JOINT STOCK COMMERCIAL INDUSTRIAL AND INVESTMENT BANK PUBLIC JOINT STOCK COMPANY,
18294,28311,aka,KUIBYSHEV REFINERY,
18294,28313,aka,OJSC KUIBYSHEV REFINERY,
18296,28315,aka,RN HOLDING OAO,
18297,28317,aka,RN-AKTIV OOO,
18297,28318,aka,OOO NEFT-AKTIV,
18298,28320,aka,RUSSIAN REGIONAL DEVELOPMENT BANK,
18300,28323,fka,TNK TRADE LIMITED,
18669,29247,aka,SBERBANK CAPITAL LLC,
18669,29248,aka,SBERBANK KAPITAL OOO,
18669,29249,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU SBERBANK KAPITAL,
18669,29474,aka,SBERBANK CAPITAL LIMITED LIABILITY COMPANY,
18708,29285,aka,SBERBANK INVESTMENTS LLC,
18708,29286,aka,SBERBANK INVESTMENTS OOO,
18709,29288,aka,CJSC SBERBANK LEASING,
18709,29289,aka,SBERBANK LEASING ZAO,
18709,29290,aka,SBERBANK LIZING ZAKRYTOE AKTSIONERNOE OBSHCHESTVO,
18709,29291,aka,SBERBANK LEASING JSC,
18709,29292,fka,RUSSKO-GERMANSKAYA LIZINGOVAYA KOMPANIYA ZAO,
18710,29294,aka,CETELEM BANK LLC,
18710,29295,aka,SETELEM BANK OOO,
18710,29296,aka,SETELEM BANK OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU,
18710,29297,fka,KOMMERCHESKI BANK UKRSIBBANK OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU,
18710,55059,aka,CETELEM BANK LIMITED LIABILITY COMPANY,
18711,29299,aka,LLC PS YANDEX.MONEY,
18711,29300,aka,PS YANDEKS.DENGI OOO,
18714,29307,aka,BPS SBERBANK OJSC,
18714,29308,aka,BPS-SBERBANK OAO,
18714,55013,aka,SBER BANK,
18715,29310,aka,SUBSIDIARY BANK SBERBANK OF RUSSIA PUBLIC JOINT STOCK COMPANY,
18715,29311,aka,SBERBANK OF RUSSIA SUBSIDIARY BANK PUBLIC JOINT STOCK COMPANY,
18715,29312,aka,PUBLICHNE AKTSIONERNE TOVARYSTVO DOCHIRNII BANK SBERBANKU ROSII,
18715,29313,aka,JSC SBERBANK OF RUSSIA,
18715,29314,fka,SBERBANK OF RUSSIA SUBSIDIARY BANK PRIVATE JOINT STOCK COMPANY,
18715,55008,aka,JSC SBERBANK,
18715,55010,aka,AKTSIONERNE TOVARYSTVO SBERBANK,
18719,29321,aka,BANK VTB 24 PUBLICHNOE AKTSIONERNOE OBSHCHESTVO,
18719,29322,aka,VTB 24 PAO,
18719,29323,aka,BANK VTB 24 CLOSED JOINT STOCK COMPANY,
18719,29324,aka,VTB 24 JSC,
18719,29325,fka,BANK VTB 24 (ZAKRYTOE AKTSIONERNOE OBSHCHESTVO),
18720,29327,aka,"VTB BANK, PUBLIC JOINT STOCK COMPANY",
18720,29328,aka,PUBLICHNE AKTSIONERNE TOVARYSTVO VTB BANK,
18720,29329,aka,"VTB BANK, PJSC",
18720,29330,aka,"VTB BANK, PJSC (UKRAINE)",
18720,29331,aka,PUBLIC-JOINT STOCK COMPANY VTB BANK (UKRAINE),
18721,29333,aka,VTB BANK BELARUS CLOSED JOINT STOCK COMPANY,
18721,29334,aka,VTB BANK BELARUS,
18721,29335,aka,CJSC VTB BANK BELARUS,
18721,29336,fka,CJSC SLAVNEFTEBANK,
18721,54976,aka,VTB BANK BELARUS CJSC,
18722,29339,fka,SAVINGS BANK OF THE REPUBLIC OF ARMENIA,
18722,54971,aka,VTB BANK ARMENIA CJSC,
18723,54967,aka,BANK VTB KAZAKHSTAN JSC,
18723,54968,aka,SUBSIDIARY JSC BANK VTB KAZAKHSTAN,
18723,54969,aka,JOINT STOCK COMPANY VTB BANK KAZAKHSTAN,
18724,29344,aka,BANK VTB AZERBAIJAN OJSC,
18724,29345,aka,JSC VTB BANK AZERBAIJAN,
18724,29346,fka,OJSC AF BANK,
18725,29348,aka,VTB AFRICA,
18726,29353,aka,JSC VTB BANK GEORGIA,
18726,54974,aka,VTB BANK GEORGIA JSC,
18728,29358,aka,VTB BANKA AD BEOGRAD,
18728,30278,fka,MOSKOVSKA BANKA AD,
18729,29361,aka,KHOLDING VTB KAPITAL ZAKRYTOE AKTSIONERNOE OBSHCHESTVO,
18729,29362,aka,HOLDING VTB CAPITAL CJSC,
18729,29363,aka,VTB CAPITAL HOLDING ZAO,
18729,54972,aka,VTB CAPITAL HOLDING CJSC,
18729,54973,aka,VTB CAPITAL JSC,
18730,29365,aka,VTB PENSION ADMINISTRATOR LTD,
18730,29366,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU VTB PENSIONNY ADMINISTRATOR,
18730,29367,aka,VTB PENSIONNY ADMINISTRATOR OOO,
18731,54980,aka,LLC VTB DC,
18731,54981,aka,VTB DC LIMITED,
18731,54982,aka,VTB DC LTD,
18732,29371,aka,VTB STRAKHOVANIE STRAKHOVAYA KOMPANIYA OOO,
18732,29372,aka,VTB STRAKHOVANIE SK OOO,
18732,29373,aka,"INSURANCE COMPANY VTB-INSURANCE, LTD",
18732,29374,aka,INSURANCE COMPANY VTB-INSURANCE LIMITED,
18732,29375,fka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU STRAKHOVOI KAPITAL,
18733,29377,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU VTB FAKTORING,
18733,29378,aka,VTB FAKTORING OOO,
18733,29380,aka,VTB FACTORING LIMITED,
18734,29382,aka,NONPROFIT ORGANIZATION NON-STATE PENSION FUND VTB PENSION FUND,
18734,29383,aka,"NPF VTB PENSIONNY FOND, AO",
18734,29384,aka,AKTSIONERNOE OBSHCHESTVO NEGOSUDARSTVENNY PENSIONNY FOND VTB PENSIONNY FOND,
18734,29385,aka,"NON-STATE PENSION FUND VTB PENSION FUND, JSC",
18734,29386,fka,NEKOMMERCHESKAYA ORGANIZATSIYA NEGOSUDARSTVENNY PENSIONNY FOND VTB PENSIONNY FOND,
18734,54970,aka,NPF VTB PENSION FUND JSC,
18735,29389,aka,"VTB NEDVIZHIMOST, OOO",
18735,29390,aka,"VTB REAL ESTATE, LLC",
18736,29392,aka,CJS VTB SPECIALIZED DEPOSITORY,
18736,54975,aka,VTB SPECIALIZED DEPOSITORY CJSC,
18737,29396,aka,VTB REGISTRAR,
18737,54996,aka,VTB REGISTRAR CJSC,
18737,54997,aka,JOINT STOCK COMPANY VTB REGISTRAR,
18737,54998,aka,JSC VTB REGISTRAR,
18738,29398,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU MULTIKARTA,
18738,29399,aka,"MULTICARTA, LTD",
18738,29401,aka,"MULTIKARTA, OOO",
18739,29405,aka,JSC VTB LEASING,
18739,29406,aka,AO VTB LIZING,
18739,62667,aka,VTB LEASING JSC,
18740,29408,fka,PUBLIC JOINT STOCK COMPANY HALS-DEVELOPMENT,
18740,29409,fka,PUBLIC JOINT STOCK COMPANY SG-DEVELOPMENT,
18740,29410,fka,GALS-DEVELOPMENT PAO,
18740,29412,fka,HAS-DEVELOPMENT JSC,
18740,62548,fka,JOINT STOCK COMPANY HALS-DEVELOPMENT,
18740,62666,aka,"SG-DEVELOPMENT, AO",
18741,29415,aka,LLC AUKCION,
18741,29416,aka,AUKTSION OOO,
18741,29417,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU AUKTSION,
18741,29418,aka,AUKCION LIMITED LIABILITY COMPANY,
18742,29420,aka,CJSC RUST,
18742,29421,aka,RUST ZAO,
18742,29422,aka,RUST ZAKRYTOE AKTSIONERNOE OBSHCHESTVO,
18742,29423,aka,JSC RUSTE,
18743,29425,aka,SBERBANK-AUTOMATED TRADING SYSTEM CLOSED JOINT STOCK COMPANY,
18743,29426,aka,SBERBANK-AST ZAO,
18743,29427,aka,ZAKRYTOE AKTSIONERNOE OBSHCHESTVO SBERBANK AVTOMATIZIROVANNAYA SISTEMA TORGOV,
18743,29428,aka,JOINT STOCK COMPANY SBERBANK-AUTOMATED SYSTEM FOR TRADING,
18743,55031,aka,SBERBANK-AST JSC,
18743,55033,aka,JSC SBERBANK-AUTOMATED SYSTEM FOR TRADING,
